Protein	Protein Description
kdpE	KdpE-Phosphorylated DNA-binding transcriptional activator
treR	TreR DNA-binding transcriptional repressor
glnG	NtrC-Phosphorylated DNA-binding transcriptional dual regulator
zraR	ZraR-Phosphorylated DNA-binding transcriptional activator
creB	CreB-Phosphorylated DNA-binding transcriptional regulator
baeR	BaeR-Phosphorylated DNA-binding transcriptional activator
phoP	PhoP-Phosphorylated DNA-binding transcriptional dual regulator
uhpA	UhpA-Phosphorylated
rpoN	RNA polymerase, sigma 54 (sigma N) factor
rpoD	RNA polymerase, sigma 70 (sigma D) factor
fliA	RNA polymerase, sigma 28 (sigma F) factor
rpoS	RNA polymerase, sigma S (sigma 38) factor
rpoE	RNA polymerase, sigma 24 (sigma E) factor
fecI	RNA polymerase, sigma 19 factor
rpoH	RNA polymerase, sigma 32 (sigma H) factor
lysR	LysR DNA-binding transcriptional dual regulator
hcaR	HcaR transcriptional dual regulator
betI	BetI DNA-binding transcriptional repressor
allR	AllR DNA-binding transcriptional repressor
gadX	GadX DNA-binding transcriptional dual regulator
phnF	PhnF predicted transcriptional regulator
yjhU	KpLE2 phage-like element; predicted DNA-binding transcriptional regulator
envY	EnvY DNA-binding transcriptional activator
ihfA	integration host factor (IHF), &alpha; subunit
dgoR	predicted DNA-binding transcriptional regulator
malT	MalT transcriptional activator
xapR	XapR transcriptional activator
csiR	CsiR DNA-binding transcriptional repressor
nanR	NanR DNA-binding transcriptional dual regulator
yidZ	putative transcriptional regulator LysR-type
yfaX	predicted DNA-binding transcriptional regulator
yciT	DNA-binding transcriptional regulator
nac_	Nac DNA-binding transcriptional dual regulator
yqeH	conserved protein with bipartite regulator domain
zur_	Zur
xylR	XylR transcriptional activator
galR	GalR DNA-binding transcriptional dual regulator
yijO	predicted DNA-binding transcriptional regulator
cra_	Cra DNA-binding transcriptional dual regulator
dctR	predicted DNA-binding transcriptional regulator
gatR_2	GatR_2
ynfL	predicted DNA-binding transcriptional regulator
rhaR	RhaR transcriptional activator
rtcR	RtcR DNA-binding transcriptional activator
mraZ	MraZ DNA-binding transcriptional repressor
yfhH	predicted DNA-binding transcriptional regulator
insH-5	Rac prophage; IS5 transposase and trans-activator
qseB	QseB transcriptional activator
lrhA	LrhA DNA-binding transcriptional dual regulator
nusA	transcription termination/antitermination L factor
bdcR	predicted transcriptional regulator
gatR_1	negative DNA-binding transcriptional regulator of galactitol metabolism
iraP	anti-adaptor protein for &sigma;<sup>S</sup> stabilization
fucR	FucR transcriptional activator
yahA	phosphodiesterase, c-di-GMP-specific
oxyR	OxyR DNA-binding transcriptional dual regulator
ydfH	YdfH DNA-binding transcriptional repressor
feaR	FeaR DNA-binding transcriptional activator
abgR	predicted DNA-binding transcriptional regulator, LYSR-type
yqjI	YqjI DNA-binding transcriptional repressor
perR	PerR transcriptional regulator
flgM	anti-sigma factor for FliA (&sigma;<sup>28</sup>)
ygeL	predicted protein
yjjQ	predicted DNA-binding transcriptional regulator
dmlR	DmlR DNA-binding transcriptional regulator
cytR	CytR
trpR	TrpR
ybhD	predicted DNA-binding transcriptional regulator
nagC	NagC DNA-binding transcriptional dual regulator
yihW	predicted DNA-binding transcriptional regulator
ilvY	IlvY DNA-binding transcriptional dual regulator
yfeR	predicted DNA-binding transcriptional regulator, LYSR-type
sutR	SutR DNA-binding transcriptional dual regulator
paaX	PaaX
treR	TreR transcriptional repressor
ydhB	protein with similarity to transcriptional regulators
acrR	AcrR DNA-binding transcriptional repressor
lgoR	predicted DNA-binding transcriptional regulator
fabR	FabR DNA-binding transcriptional repressor
sgcR	KpLE2 phage-like element; predicted DNA-binding transcriptional regulator
ygaV	predicted DNA-binding transcriptional regulator
mprA	MprA DNA-binding transcriptional repressor
glrR	GlrR DNA-binding transcriptional activator
rutR	RutR DNA-binding transcriptional dual regulator
malI	MalI DNA-binding transcriptional repressor
crp_	CRP transcriptional dual regulator
argR	ArgR
yahB	predicted DNA-binding transcriptional regulator, LysR-type
yqhC	YqhC DNA-binding transcriptional activator
yedW	YedW DNA-binding response regulator in two-component system with YedV
